Epoch,NakamotoCoefficient,GiniIndex,TotalTokens,TotalVotingPower,AgentCount
385,32,0.5597,3848101.88,1155048.27,664
386,32,0.5591,3854001.32,1157132.55,665
387,32,0.5583,3839925.98,1153480.67,664
388,31,0.5585,3829448.07,1150900.81,662
389,32,0.5572,3840983.06,1154571.96,665
390,31,0.5597,3824144.37,1149689.76,663
391,30,0.5606,3801295.13,1142477.61,662
392,31,0.5580,3758267.14,1129970.42,657
393,31,0.5583,3756496.84,1129264.37,654
394,31,0.5559,3746133.83,1126925.52,655
395,31,0.5568,3734116.28,1122985.22,649
396,34,0.5470,3620026.53,1091104.85,645
397,34,0.5468,3621678.35,1092118.60,645
398,34,0.5469,3621330.44,1091054.97,642
399,34,0.5458,3629298.76,1093276.20,643
400,34,0.5459,3628622.84,1093587.07,642
401,40,0.5305,3483496.76,1054284.04,641
402,40,0.5307,3475641.96,1051871.69,638
403,39,0.5310,3472967.41,1049767.66,635
404,38,0.5323,3448313.48,1043235.45,629
405,37,0.5334,3426066.42,1036981.08,629
406,37,0.5337,3421222.74,1035776.11,627
407,36,0.5359,3406071.23,1030769.79,625
408,36,0.5356,3411030.35,1032612.06,624
409,36,0.5348,3410699.13,1032048.47,623
410,36,0.5343,3417450.09,1033773.40,623
411,36,0.5346,3415724.85,1033530.06,621
412,35,0.5376,3396850.13,1026919.33,616
413,34,0.5386,3356261.73,1015153.26,608
414,34,0.5384,3355921.47,1015906.83,607
415,34,0.5369,3344955.79,1012433.67,605
416,34,0.5358,3352938.66,1013961.39,605
417,34,0.5353,3353275.98,1014310.17,605
418,34,0.5359,3349971.62,1012846.64,601
419,34,0.5362,3348095.33,1011993.55,597
420,32,0.5388,3308817.93,1000148.72,592
421,32,0.5380,3308526.56,1000641.13,593
422,40,0.5203,3156506.97,958568.03,589
423,41,0.5202,3158895.41,959733.07,588
424,41,0.5195,3163178.64,961208.07,587
425,45,0.5116,3101869.24,944963.14,587
426,45,0.5103,3109552.10,947396.41,589
427,44,0.5130,3095999.71,942829.87,587
428,43,0.5139,3088645.30,939986.98,583
429,44,0.5123,3066273.02,934244.53,581
430,44,0.5116,3071284.76,935610.82,581
431,44,0.5104,3077340.45,937117.22,582
432,45,0.5103,3080817.22,938211.76,581
433,48,0.5049,3043254.87,927893.93,580
434,48,0.5047,3046129.50,929122.57,580
435,48,0.5061,3043092.05,927669.10,581
436,49,0.5044,3056341.86,932316.25,585
437,49,0.5037,3058836.76,933343.23,585
438,48,0.5050,3050701.91,930596.65,580
439,49,0.5034,3060975.83,933472.31,582
440,50,0.5018,3073038.06,937578.55,586
441,49,0.5044,3063911.85,934327.62,585
442,49,0.5046,3059788.52,932465.32,583
443,51,0.5016,3042256.59,928338.25,584
444,51,0.5012,3046225.44,929506.09,584
445,52,0.5005,3053816.86,932149.15,585
446,51,0.5026,3046797.91,929604.18,585
447,51,0.5020,3047885.44,930023.94,585
448,50,0.5040,3006825.17,918932.63,582
449,49,0.5045,3005473.19,917747.72,580
450,49,0.5067,2996440.44,914810.79,580
451,63,0.4829,2824751.49,867307.96,577
452,65,0.4818,2785235.08,855946.62,576
453,66,0.4808,2795849.98,859256.54,578
454,66,0.4805,2798649.17,860089.75,578
455,65,0.4812,2790257.40,857764.28,575
456,66,0.4804,2798256.22,861031.26,577
457,65,0.4808,2793395.75,860493.48,576
458,70,0.4744,2718301.49,839568.13,574
459,70,0.4743,2718703.27,839522.08,573
460,69,0.4748,2715287.51,838239.16,570
461,69,0.4749,2713177.87,836929.25,567
462,70,0.4737,2724446.65,840392.67,569
463,71,0.4724,2736772.56,844636.07,572
464,73,0.4707,2736286.32,844813.27,573
465,74,0.4695,2744740.02,846739.78,574
466,74,0.4684,2753298.37,849069.12,576
467,74,0.4688,2750174.53,848047.69,574
468,74,0.4689,2753597.12,849395.70,574
469,74,0.4682,2759286.97,850754.57,574
470,73,0.4695,2752023.33,848484.63,571
471,74,0.4688,2756291.37,850703.61,573
472,75,0.4675,2767709.12,854158.29,576
473,75,0.4677,2767131.59,854661.64,575
474,75,0.4672,2762829.25,853782.78,574
475,77,0.4657,2771378.69,856592.31,577
476,75,0.4685,2756022.93,851171.42,575
477,75,0.4685,2757697.00,851561.13,574
478,75,0.4681,2761338.08,852357.81,574
479,165,0.2952,1998001.77,645381.25,574
480,165,0.2973,1996857.56,644492.88,575
481,165,0.2975,1995641.89,644575.23,575
482,162,0.3006,1984465.00,639763.64,571
483,161,0.2998,1958003.77,632048.87,565
484,161,0.2997,1963999.10,634221.23,566
485,161,0.3016,1958986.10,632877.97,568
486,159,0.3042,1941513.17,627506.81,566
487,160,0.3034,1948210.57,629765.87,568
488,171,0.2777,1861109.79,606913.68,568
489,170,0.2774,1855255.36,604077.30,563
490,170,0.2770,1857719.21,604485.16,563
491,170,0.2764,1853680.24,604207.74,563
492,171,0.2748,1844535.70,602194.47,562
493,170,0.2754,1836878.44,599796.33,559
494,169,0.2745,1820476.11,595441.32,555
495,170,0.2722,1817638.34,595319.31,556
496,170,0.2721,1814909.98,594534.99,555
